[2026-06-01 19:12:17] INFO epoch 2 it 1700/1704 loss nan
[2026-06-01 19:12:18] INFO epoch 2 done in 79.4s lr=9.98e-05 avg_train_loss=nan
[2026-06-01 19:13:06] INFO epoch 2 val MAE(HU): nan
[2026-06-01 19:13:54] INFO epoch 3 it 50/1704 loss nan
[2026-06-01 19:13:55] INFO epoch 3 it 100/1704 loss nan
[2026-06-01 19:13:56] INFO epoch 3 it 150/1704 loss nan
[2026-06-01 19:13:56] INFO epoch 3 it 200/1704 loss nan
[2026-06-01 19:13:57] INFO epoch 3 it 250/1704 loss nan
[2026-06-01 19:13:58] INFO epoch 3 it 300/1704 loss nan
[2026-06-01 19:13:59] INFO epoch 3 it 350/1704 loss nan
[2026-06-01 19:14:00] INFO epoch 3 it 400/1704 loss nan
[2026-06-01 19:14:01] INFO epoch 3 it 450/1704 loss nan
[2026-06-01 19:14:02] INFO epoch 3 it 500/1704 loss nan
[2026-06-01 19:14:03] INFO epoch 3 it 550/1704 loss nan
[2026-06-01 19:14:03] INFO epoch 3 it 600/1704 loss nan
[2026-06-01 19:14:04] INFO epoch 3 it 650/1704 loss nan
[2026-06-01 19:14:05] INFO epoch 3 it 700/1704 loss nan
[2026-06-01 19:14:06] INFO epoch 3 it 750/1704 loss nan
[2026-06-01 19:14:07] INFO epoch 3 it 800/1704 loss nan
[2026-06-01 19:14:08] INFO epoch 3 it 850/1704 loss nan
[2026-06-01 19:14:09] INFO epoch 3 it 900/1704 loss nan
[2026-06-01 19:14:10] INFO epoch 3 it 950/1704 loss nan
[2026-06-01 19:14:10] INFO epoch 3 it 1000/1704 loss nan
[2026-06-01 19:14:11] INFO epoch 3 it 1050/1704 loss nan
[2026-06-01 19:14:12] INFO epoch 3 it 1100/1704 loss nan
[2026-06-01 19:14:13] INFO epoch 3 it 1150/1704 loss nan
[2026-06-01 19:14:14] INFO epoch 3 it 1200/1704 loss nan
[2026-06-01 19:14:15] INFO epoch 3 it 1250/1704 loss nan
[2026-06-01 19:14:16] INFO epoch 3 it 1300/1704 loss nan
[2026-06-01 19:14:16] INFO epoch 3 it 1350/1704 loss nan
[2026-06-01 19:14:17] INFO epoch 3 it 1400/1704 loss nan
[2026-06-01 19:14:18] INFO epoch 3 it 1450/1704 loss nan
[2026-06-01 19:14:19] INFO epoch 3 it 1500/1704 loss nan
[2026-06-01 19:14:20] INFO epoch 3 it 1550/1704 loss nan
[2026-06-01 19:14:21] INFO epoch 3 it 1600/1704 loss nan
[2026-06-01 19:14:21] INFO epoch 3 it 1650/1704 loss nan
[2026-06-01 19:14:22] INFO epoch 3 it 1700/1704 loss nan
[2026-06-01 19:14:24] INFO epoch 3 done in 78.0s lr=9.96e-05 avg_train_loss=nan
[2026-06-01 19:15:10] INFO epoch 3 val MAE(HU): nan
[2026-06-01 19:16:02] INFO epoch 4 it 50/1704 loss nan
[2026-06-01 19:16:03] INFO epoch 4 it 100/1704 loss nan
[2026-06-01 19:16:04] INFO epoch 4 it 150/1704 loss nan
[2026-06-01 19:16:05] INFO epoch 4 it 200/1704 loss nan
[2026-06-01 19:16:06] INFO epoch 4 it 250/1704 loss nan
[2026-06-01 19:16:07] INFO epoch 4 it 300/1704 loss nan
[2026-06-01 19:16:08] INFO epoch 4 it 350/1704 loss nan
[2026-06-01 19:16:08] INFO epoch 4 it 400/1704 loss nan
[2026-06-01 19:16:09] INFO epoch 4 it 450/1704 loss nan
[2026-06-01 19:16:10] INFO epoch 4 it 500/1704 loss nan
[2026-06-01 19:16:11] INFO epoch 4 it 550/1704 loss nan
[2026-06-01 19:16:12] INFO epoch 4 it 600/1704 loss nan
[2026-06-01 19:16:13] INFO epoch 4 it 650/1704 loss nan
[2026-06-01 19:16:13] INFO epoch 4 it 700/1704 loss nan
[2026-06-01 19:16:14] INFO epoch 4 it 750/1704 loss nan
[2026-06-01 19:16:15] INFO epoch 4 it 800/1704 loss nan
[2026-06-01 19:16:16] INFO epoch 4 it 850/1704 loss nan
[2026-06-01 19:16:17] INFO epoch 4 it 900/1704 loss nan
[2026-06-01 19:16:18] INFO epoch 4 it 950/1704 loss nan
[2026-06-01 19:16:18] INFO epoch 4 it 1000/1704 loss nan
[2026-06-01 19:16:19] INFO epoch 4 it 1050/1704 loss nan
[2026-06-01 19:16:20] INFO epoch 4 it 1100/1704 loss nan
[2026-06-01 19:16:21] INFO epoch 4 it 1150/1704 loss nan
[2026-06-01 19:16:22] INFO epoch 4 it 1200/1704 loss nan
[2026-06-01 19:16:22] INFO epoch 4 it 1250/1704 loss nan
[2026-06-01 19:16:23] INFO epoch 4 it 1300/1704 loss nan
[2026-06-01 19:16:24] INFO epoch 4 it 1350/1704 loss nan
[2026-06-01 19:16:25] INFO epoch 4 it 1400/1704 loss nan
[2026-06-01 19:16:26] INFO epoch 4 it 1450/1704 loss nan
[2026-06-01 19:16:27] INFO epoch 4 it 1500/1704 loss nan
[2026-06-01 19:16:27] INFO epoch 4 it 1550/1704 loss nan
[2026-06-01 19:16:28] INFO epoch 4 it 1600/1704 loss nan
[2026-06-01 19:16:29] INFO epoch 4 it 1650/1704 loss nan
[2026-06-01 19:16:30] INFO epoch 4 it 1700/1704 loss nan
[2026-06-01 19:16:31] INFO epoch 4 done in 81.4s lr=9.94e-05 avg_train_loss=nan
[2026-06-01 19:17:15] INFO epoch 4 val MAE(HU): nan
[2026-06-01 19:18:02] INFO epoch 5 it 50/1704 loss nan
[2026-06-01 19:18:03] INFO epoch 5 it 100/1704 loss nan
[2026-06-01 19:18:03] INFO epoch 5 it 150/1704 loss nan
[2026-06-01 19:18:04] INFO epoch 5 it 200/1704 loss nan
[2026-06-01 19:18:05] INFO epoch 5 it 250/1704 loss nan
[2026-06-01 19:18:06] INFO epoch 5 it 300/1704 loss nan
[2026-06-01 19:18:07] INFO epoch 5 it 350/1704 loss nan
[2026-06-01 19:18:08] INFO epoch 5 it 400/1704 loss nan
[2026-06-01 19:18:08] INFO epoch 5 it 450/1704 loss nan
[2026-06-01 19:18:09] INFO epoch 5 it 500/1704 loss nan
[2026-06-01 19:18:10] INFO epoch 5 it 550/1704 loss nan
[2026-06-01 19:18:11] INFO epoch 5 it 600/1704 loss nan
[2026-06-01 19:18:12] INFO epoch 5 it 650/1704 loss nan
[2026-06-01 19:18:12] INFO epoch 5 it 700/1704 loss nan
[2026-06-01 19:18:13] INFO epoch 5 it 750/1704 loss nan
[2026-06-01 19:18:14] INFO epoch 5 it 800/1704 loss nan
[2026-06-01 19:18:15] INFO epoch 5 it 850/1704 loss nan
[2026-06-01 19:18:16] INFO epoch 5 it 900/1704 loss nan
[2026-06-01 19:18:17] INFO epoch 5 it 950/1704 loss nan
